author,published_at,text
@RaffaAzkia-fd,2025-10-03T05:43:18Z,wait HIU GORENG WHATTHEHELL MAKAN 🦈 hohohohohohohohohohoihihhohohohoh😕😕😕😕🤷🤷‍♀️🤷‍♀️🤷‍♂️🤷🤷🤷‍♀️🤷‍♂️🤷‍♀️🤷🤷🤷‍♀️🤷‍♂️🤷‍♀️🤷🤷🤷‍♀️🤷‍♂️🤷‍♀️🤷🤷🤷‍♀️🤷‍♂️🤷‍♀️🤷🤷🤷‍♀️🤷‍♂️🤷‍♀️🤷🤷🤷🤷‍♀️🤷‍♂️🤷‍♂️🤷‍♀️🤷🤷🤷‍♀️🤷‍♂️🤷‍♂️🤷‍♀️🤷🤷🤷‍♀️🤷‍♂️🤷‍♀️🤷🤷🤷‍♀️🤷‍♂️🤷‍♂️🤷🤷🤷🤷‍♀️🤷‍♂️🤷‍♀️😕🤷‍♀️😕😕🤷🤷‍♀️🤷‍♀️🤷🤷‍♀️
@mrayanasatyalesmana5142,2025-10-03T05:33:24Z,Makan bergizi gratis❎ makan beracun gratis ✅
@whiterose8829,2025-10-03T05:32:25Z,Ini tuh untuk membatalkan program ini. Krn anggarannya diambil dari dana pendidikan.
@RefanAnggara-n7t,2025-10-03T04:39:30Z,Penjual kantin: 0 korban kalo ke saya
@Ikbaludin0402,2025-10-03T04:39:19Z,Karena systemnya itu mitra kerja sama bang. Indo terlalu luas jadi untuk program seperti ini susah terlealisasi secara langsung dimana untuk system kerja sama mitra dapur mbg ini siapa punya tempat dan lahan bisa dafdar dengan menyediakan stok bahan makanan untuk satu pekan dan akan diganti oleh pemerintah satu pekan selanjutnya. Dan kifa tau kalo program ini ditentang oleh banyak pihak. Apalagi uruaanya makanan gampang kena sesuatu yang bikin gejala gejala
@fitriyah1059,2025-10-03T03:57:05Z,anjir hiyu hoheng 😂😂😂😂😂😂😂😂😂😅
@PutraAldi-y6x,2025-10-03T03:54:17Z,Tapi gw ngga njir
@zcloud.0nly,2025-10-03T03:51:21Z,Alhamdulillah mbg sekolah gw normal
@buksiti8806,2025-10-03T03:21:48Z,Teman aku juga jadi korban dia langsung muka nya jerawat banyak
@xproject6027,2025-10-03T03:11:44Z,Yg ikut masak itu sebenernya gak pada bisa masak
@weo5158,2025-10-03T02:36:35Z,Program cuci uang
@MephillesThedark-h8f,2025-10-03T02:12:03Z,itu semangkanya terinspirasi dari aipon 17 air ya
@bismaalif2001,2025-10-03T02:04:01Z,Jgn herang sudah tentu dikorupsi
@jenter_77-CHANNEL1,2025-10-03T00:57:38Z,untungnya MBG di sekolahku aman-aman aja😌
@FamaHara_chi,2025-10-03T00:39:10Z,"Menurut aku ,gmna pengelola nya sih,, <br>Soalnya itu kan suka ada yg nawarin mau gk jdi yg masak di dapur mbg gtu kan,, trs kata yg ngajaknya &quot;lumayan ,bisa beli yg lebih murah,jdi dapet uang nya juga&quot; <br>Di korupsi gtu, bkn pemerintah aja, rakyat pun korupsi juga😂"
@elmalik-c7i-t2c,2025-10-02T23:11:20Z,bang MBG B nya beracun
@fannyahsanul,2025-10-02T23:02:58Z,Eh gyus tapi ini gk salahnya prabowo kocak yang salah ya yang buat mbg nya tapi katanya prabowo bayarnya pake pajak  tapi aku lihat tt sih
@ellatasneem4605,2025-10-02T23:00:03Z,Di sekolah gue makan nya burger
@Cloudy-n1m,2025-10-02T22:56:49Z,Penanggung jawabnya bukan ahli gizi tapi ahli serangga 😂
@Cookie-75l,2025-10-02T22:43:16Z,Katanya ada yang meninggal bang 😭😭
@Ultra_irenk,2025-10-02T22:21:47Z,Gw bilek=4 hari berturut turut menuny ayam trs😭
@Adolf_Kitler0,2025-10-02T22:15:02Z,Punya gw belum mbg sumpah!!
@khairilqwerty8735,2025-10-02T21:07:56Z,Jir ikan hiu goreng 🤣
@Aloneknight3,2025-10-02T16:46:44Z,Masukke kantong presiden kita kah😅😊
@SulthanM-b6f,2025-10-02T15:58:40Z,"Gw seminggu dapet makan ayam, mie, ama spagetti dalam seminggu👍🥰"
@Safiq_indo,2025-10-02T15:42:14Z,Kalo GK mau tanggung jawab ngapain ada program MBG kocak!!
@BAGIR_7,2025-10-02T15:40:09Z,Mbg. Makan bergizi gratis ❌<br>Mbg. Makan beracun gratis ✅
@BAGIR_7,2025-10-02T15:39:54Z,Mbg. Makan bergizi gratis ❌<br>Mbg. Makan beracun gratis ✅
@nathaniasally,2025-10-02T15:16:21Z,"Selama hukuman mati utk koruptor ga disahkan, mau sebagus apapun program nya pasti ada celah nya."
@Syahlanjr,2025-10-02T15:06:38Z,"asikk di korupsi mulu,di ousat siah di kasih dana giliran di salurkan malah di korupsi taek"
@muhammadizzzafransofianizw2640,2025-10-02T14:59:52Z,Bukan makan siang gratis  tapi makan basi gratis
@ShouttaShort,2025-10-02T14:59:10Z,Jir kota gua tuh hiu goreng 😂
@rusiniariffin5084,2025-10-02T14:55:34Z,Prabowo buat buat tolong gaza padahal rakyat makan racun😂
@Rahmat-e5l,2025-10-02T14:32:35Z,"Njirr, semangka apaan tuh😂"
@aufarrafimaulidifirdaus849,2025-10-02T14:27:15Z,"Gacoan?kan katanya Makan Bergizi Geratis,masa menunya gacoan,dimana letak gizinya"
